,,,,,,
Round,AI Rank,State,Institute,Course,Quota,Category
1,1,Delhi,"Lady Hardinge, Delhi",DM Neonatology,AIQ,GEN
1,1,Delhi,"GB Pant IPGMER, Delhi",DM Medical Gastroenterology,AIQ,GEN
1,1,Maharashtra,"Tata Memorial, Mumbai",MCh Head & Neck Surgery,AIQ,GEN
1,1,Tamil Nadu,"Kovai MedicalCentre,Coimbatore",DrNB Interventional Radiology,AIQ,GEN
1,1,Uttar Pradesh,"SGPGI, Lucknow",DM Critical Care Medicine,AIQ,GEN
1,1,Tamil Nadu,"CMC, Vellore",DM Virology,AIQ,GEN
1,1,Maharashtra,"Tata Memorial, Mumbai",DM Medical Oncology,AIQ,GEN
1,1,Delhi,"GB Pant IPGMER, Delhi",MCh Surgical Gastroenterology,AIQ,GEN
1,1,Karnataka,"Sri Jayadeva Instof Cardio,BLR",DM Cardiac Anaesthesia,AIQ,GEN
1,1,Kerala,"Medical College, Trivandrum",DM Pulmonary Medicine,AIQ,GEN
1,1,Maharashtra,"Tata Memorial, Mumbai",MCh Gynaecological Oncology,AIQ,GEN
1,2,Maharashtra,"Tata Memorial, Mumbai",DM Medical Oncology,AIQ,GEN
1,2,Tamil Nadu,"Kovai MedicalCentre,Coimbatore",DrNB Interventional Radiology,AIQ,GEN
1,2,Delhi,"GB Pant IPGMER, Delhi",MCh Surgical Gastroenterology,AIQ,GEN
1,2,Tamil Nadu,"CMC, Vellore",MCh Paediatric Orthopaedics,AIQ,GEN
1,2,Maharashtra,"Tata Memorial, Mumbai",MCh Head & Neck Surgery,AIQ,GEN
1,2,Delhi,"Instof Liver&Biliary Sci,Delhi",DM Organ Transplant Anaesthesia & Critical Care,AIQ,GEN
1,2,Maharashtra,"Tata Memorial, Mumbai",MCh Gynaecological Oncology,AIQ,GEN
1,2,Maharashtra,"Tata Memorial, Mumbai",DM Onco Pathology,AIQ,GEN
1,2,Tamil Nadu,"CMC, Vellore",DM Virology,AIQ,GEN
1,2,Delhi,"VMMC, Delhi",DM Pulmonary Medicine,AIQ,GEN
1,2,Karnataka,"St John's, Bangalore",DM Critical Care Medicine,AIQ,GEN
1,2,Telangana,"NIMS, Hyderabad",DM Clinical Pharmacology,AIQ,GEN
1,2,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DM Neonatology,AIQ,GEN
1,3,Tamil Nadu,"Kanchi Kamakoti, Chennai",DrNB Paediatric Intensive Care,AIQ,GEN
1,3,Maharashtra,"Tata Memorial, Mumbai",MCh Head & Neck Surgery,AIQ,GEN
1,3,Uttar Pradesh,"KGMU, Lucknow",DM Geriatric Mental Health,AIQ,GEN
1,3,Delhi,"GB Pant IPGMER, Delhi",MCh Surgical Gastroenterology,AIQ,GEN
1,3,Maharashtra,"Grant Med Coll, Mumbai",DM Interventional Radiology,AIQ,GEN
1,3,Tamil Nadu,Tirunelveli Med Coll,DM Virology,AIQ,GEN
1,3,Uttar Pradesh,"SGPGI, Lucknow",DM Clinical Immunology & Rheumatology,AIQ,GEN
1,3,Telangana,"NIMS, Hyderabad",DM Clinical Pharmacology,AIQ,GEN
1,3,Delhi,"Instof Liver&Biliary Sci,Delhi",DM Organ Transplant Anaesthesia & Critical Care,AIQ,GEN
1,3,Tamil Nadu,"CMC, Vellore",MCh Hand Surgery,AIQ,GEN
1,3,Tamil Nadu,"CMC, Vellore",DM Critical Care Medicine,AIQ,GEN
1,3,Maharashtra,"Tata Memorial, Mumbai",DM Onco Pathology,AIQ,GEN
1,3,Kerala,"Govt Med Coll, Kozhikode",DM Pulmonary Medicine,AIQ,GEN
1,3,Rajasthan,"SMS, Jaipur",DM Medical Oncology,AIQ,GEN
1,3,Maharashtra,"Tata Memorial, Mumbai",MCh Gynaecological Oncology,AIQ,GEN
1,4,Maharashtra,"Tata Memorial, Mumbai",DM Onco Pathology,AIQ,GEN
1,4,Delhi,"Instof Liver&Biliary Sci,Delhi",DM Virology,AIQ,GEN
1,4,Tamil Nadu,"CMC, Vellore",DM Interventional Radiology,AIQ,GEN
1,4,Delhi,"VMMC, Delhi",DM Pulmonary Medicine,AIQ,GEN
1,4,Delhi,"Sir Ganga Ram Hospital, Delhi",DrNB Paediatric Intensive Care,AIQ,GEN
1,4,Tamil Nadu,"CMC, Vellore",MCh Hand Surgery,AIQ,GEN
1,4,Maharashtra,"Tata Memorial, Mumbai",MCh Head & Neck Surgery,AIQ,GEN
