Round,AI Rank,State,Institute,Course,Quota,Category
0,1,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,UR
0,2,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-All India,UR
0,3,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,UR
0,4,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,UR
0,5,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-All India,UR
0,6,Rajasthan,AIIMS Jodhpur,RADIO DIAGNOSIS,AIIMS-All India,UR
0,7,Karnataka,NIMHANS Bangalore,NEUROSURGERY 6 YRS,NIMHANS-All India,UR
0,8,Karnataka,NIMHANS Bangalore,NEUROSURGERY 6 YRS,NIMHANS-All India,UR
0,9,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,11,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,UR
0,12,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,UR
0,13,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,14,Rajasthan,AIIMS Jodhpur,RADIO DIAGNOSIS,AIIMS-All India,UR
0,15,Delhi,AIIMS Delhi,PAEDIATRICS,AIIMS-All India,UR
0,16,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,17,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,18,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,OBC
0,19,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,20,Delhi,AIIMS Delhi,PAEDIATRICS,AIIMS-All India,UR
0,21,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,22,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,23,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,24,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,25,Pondicherry,JIPMER Puducherry,RADIO DIAGNOSIS,JIPMER-All India,OBC
0,26,Madhya Pradesh,AIIMS Bhopal,RADIO DIAGNOSIS,AIIMS-All India,UR
0,27,Uttarakhand,AIIMS Rishikesh,RADIO DIAGNOSIS,AIIMS-All India,UR
0,28,Madhya Pradesh,AIIMS Bhopal,RADIO DIAGNOSIS,AIIMS-All India,UR
0,29,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,30,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,UR
0,31,Rajasthan,AIIMS Jodhpur,GENERAL MEDICINE,AIIMS-All India,UR
0,32,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,OBC
0,33,Pondicherry,JIPMER Puducherry,RADIO DIAGNOSIS,JIPMER-All India,UR
0,34,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-All India,EWS
0,35,Pondicherry,JIPMER Puducherry,RADIO DIAGNOSIS,JIPMER-All India,UR
0,36,Uttarakhand,AIIMS Rishikesh,GENERAL MEDICINE,AIIMS-All India,UR
0,37,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,OBC
0,38,Delhi,AIIMS Delhi,PAEDIATRICS,AIIMS-All India,UR
0,39,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,OBC
0,40,Chandigarh,PGIMER Chandigarh,DERMATOLOGY,PGIMER-All India,UR
0,41,Madhya Pradesh,AIIMS Bhopal,RADIO DIAGNOSIS,AIIMS-All India,UR
0,42,Chhattisgarh,AIIMS Raipur,GENERAL MEDICINE,AIIMS-All India,UR
0,43,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,44,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,45,Odisha,AIIMS Bhubaneswar,GENERAL MEDICINE,AIIMS-All India,UR
0,46,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,UR
0,47,Pondicherry,JIPMER Puducherry,RADIO DIAGNOSIS,JIMPER-Inst. Pref,INST (JIPMER)
0,48,Madhya Pradesh,AIIMS Bhopal,RADIO DIAGNOSIS,AIIMS-All India,EWS
0,49,Delhi,AIIMS Delhi,OBG,AIIMS-All India,UR
0,50,Bihar,AIIMS Patna,RADIO DIAGNOSIS,AIIMS-All India,UR
0,51,Uttarakhand,AIIMS Rishikesh,GENERAL MEDICINE,AIIMS-All India,UR
0,52,Madhya Pradesh,AIIMS Bhopal,GENERAL MEDICINE,AIIMS-All India,UR
0,53,Madhya Pradesh,AIIMS Bhopal,GENERAL MEDICINE,AIIMS-All India,UR
0,55,Delhi,AIIMS Delhi,INECTIOUS DISEASES 6 YRS,AIIMS-All India,UR
0,56,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,UR
0,57,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,58,Delhi,AIIMS Delhi,NEUROSURGERY 6 YRS,AIIMS-All India,UR
0,59,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,UR
0,60,Chandigarh,PGIMER Chandigarh,RADIO DIAGNOSIS,PGIMER-All India,OBC
0,61,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,SC
0,62,Uttarakhand,AIIMS Rishikesh,GENERAL MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,63,Delhi,AIIMS Delhi,DERMATOLOGY,AIIMS-All India,OBC
0,64,Bihar,AIIMS Patna,SURGGASTRO (6 YRS),AIIMS-All India,UR
0,65,Pondicherry,JIPMER Puducherry,RADIO DIAGNOSIS,JIPMER-All India,OBC
0,66,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,UR
0,67,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,69,Chandigarh,PGIMER Chandigarh,DERMATOLOGY,PGIMER-All India,UR
0,70,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,UR
0,71,Bihar,AIIMS Patna,GENERAL MEDICINE,AIIMS-All India,UR
0,72,Chandigarh,PGIMER Chandigarh,GENERAL MEDICINE,PGIMER-All India,OBC
0,74,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,UR
0,75,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,UR
0,76,Chandigarh,PGIMER Chandigarh,OBG,PGIMER-All India,UR
0,77,Punjab,AIIMS Bathinda,RADIO DIAGNOSIS,AIIMS-All India,UR
0,78,Rajasthan,AIIMS Jodhpur,GENERAL MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,79,Punjab,AIIMS Bathinda,RADIO DIAGNOSIS,AIIMS-All India,UR
0,80,Chhattisgarh,AIIMS Raipur,GENERAL MEDICINE,AIIMS-All India,UR
0,81,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,OBC
0,82,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,UR
0,83,Punjab,AIIMS Bathinda,GENERAL MEDICINE,AIIMS-All India,UR
0,84,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,SC
0,85,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,OBC
0,86,Delhi,AIIMS Delhi,BIOPHYSICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,87,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-All India,UR
0,88,Rajasthan,AIIMS Jodhpur,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,89,West Bengal,AIIMS Kalyani,GENERAL MEDICINE,AIIMS-All India,UR
0,90,Chandigarh,PGIMER Chandigarh,OBG,PGIMER-All India,UR
0,93,Delhi,AIIMS Delhi,PAEDIATRICS,AIIMS-All India,EWS
0,94,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,OBC
0,95,Delhi,AIIMS Delhi,ENT,AIIMS-All India,UR
0,96,Rajasthan,AIIMS Jodhpur,GENERAL MEDICINE,AIIMS-All India,OBC
0,97,Maharashtra,AIIMS Nagpur,RADIO DIAGNOSIS,AIIMS-All India,UR
0,98,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,EWS
0,99,Chhattisgarh,AIIMS Raipur,RADIO DIAGNOSIS,AIIMS-All India,UR
0,101,Maharashtra,AIIMS Nagpur,GENERAL MEDICINE,AIIMS-All India,UR
0,102,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,103,Maharashtra,AIIMS Nagpur,GENERAL MEDICINE,AIIMS-All India,UR
0,104,Punjab,AIIMS Bathinda,GENERAL MEDICINE,AIIMS-All India,UR
0,105,Rajasthan,AIIMS Jodhpur,DERMATOLOGY,AIIMS-All India,UR
0,106,Chandigarh,PGIMER Chandigarh,GENERAL SURGERY,PGIMER-All India,UR
0,107,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,OBC
0,108,Madhya Pradesh,AIIMS Bhopal,RADIO DIAGNOSIS,AIIMS-All India,SC
0,109,Punjab,AIIMS Bathinda,GENERAL MEDICINE,AIIMS-All India,UR
0,110,Odisha,AIIMS Bhubaneswar,GENERAL MEDICINE,AIIMS-All India,EWS
0,111,Uttarakhand,AIIMS Rishikesh,DERMATOLOGY,AIIMS-All India,UR
0,112,Odisha,AIIMS Bhubaneswar,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,113,West Bengal,AIIMS Kalyani,GENERAL MEDICINE,AIIMS-All India,UR
0,114,Madhya Pradesh,AIIMS Bhopal,DERMATOLOGY,AIIMS-All India,UR
0,116,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-All India,UR
0,117,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,OBC
0,118,Rajasthan,AIIMS Jodhpur,RADIO DIAGNOSIS,AIIMS-All India,SC
0,119,Chhattisgarh,AIIMS Raipur,GENERAL MEDICINE,AIIMS-All India,EWS
0,120,Delhi,AIIMS Delhi,PSYCHIATRY,AIIMS-All India,UR
0,121,Pondicherry,JIPMER Puducherry,PAEDIATRICS,JIPMER-All India,UR
0,122,Himachal Pradesh,AIIMS Bilaspur Himachal,GENERAL MEDICINE,AIIMS-All India,UR
0,123,Madhya Pradesh,AIIMS Bhopal,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,124,Uttar Pradesh,AIIMS Rai Bareli,GENERAL MEDICINE,AIIMS-All India,UR
0,127,Madhya Pradesh,AIIMS Bhopal,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,128,Delhi,AIIMS Delhi,ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,129,Andhra Pradesh,AIIMS Mangalagiri,GENERAL MEDICINE,AIIMS-All India,UR
0,130,Rajasthan,AIIMS Jodhpur,PAEDIATRICS,AIIMS-All India,UR
0,131,Rajasthan,AIIMS Jodhpur,PAEDIATRICS,AIIMS-All India,UR
0,132,Delhi,AIIMS Delhi,BIOPHYSICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,133,West Bengal,AIIMS Kalyani,RADIO DIAGNOSIS,AIIMS-All India,UR
0,134,Uttar Pradesh,AIIMS Rai Bareli,GENERAL MEDICINE,AIIMS-All India,UR
0,135,Uttar Pradesh,AIIMS Rai Bareli,GENERAL MEDICINE,AIIMS-All India,UR
0,136,Chandigarh,PGIMER Chandigarh,GENERAL SURGERY,PGIMER-All India,UR
0,137,Andhra Pradesh,AIIMS Mangalagiri,RADIO DIAGNOSIS,AIIMS-All India,UR
0,138,Madhya Pradesh,AIIMS Bhopal,GENERAL MEDICINE,AIIMS-All India,OBC
0,139,Delhi,AIIMS Delhi,GENERAL MEDICINE,AIIMS-All India,SC
0,140,Telangana,AIIMS Bibinagar,GENERAL MEDICINE,AIIMS-All India,UR
0,141,Chhattisgarh,AIIMS Raipur,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,143,Odisha,AIIMS Bhubaneswar,RADIO DIAGNOSIS,AIIMS-All India,EWS
0,144,West Bengal,AIIMS Kalyani,RADIO DIAGNOSIS,AIIMS-All India,UR
0,145,Telangana,AIIMS Bibinagar,GENERAL MEDICINE,AIIMS-All India,UR
0,146,Chhattisgarh,AIIMS Raipur,PAEDIATRICS,AIIMS-All India,UR
0,147,Telangana,AIIMS Bibinagar,GENERAL MEDICINE,AIIMS-All India,UR
0,150,Himachal Pradesh,AIIMS Bilaspur Himachal,RADIO DIAGNOSIS,AIIMS-All India,UR
0,151,West Bengal,AIIMS Kalyani,RADIO DIAGNOSIS,AIIMS-All India,UR
0,152,Uttarakhand,AIIMS Rishikesh,GENERAL MEDICINE,AIIMS-All India,OBC
0,153,Punjab,AIIMS Bathinda,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,154,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,OBC
0,155,Assam,AIIMS Guwahati,RADIO DIAGNOSIS,AIIMS-All India,UR
0,156,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,158,Uttar Pradesh,AIIMS Gorakhpur,DERMATOLOGY,AIIMS-All India,UR
0,159,Maharashtra,AIIMS Nagpur,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,160,Jammu and Kashmir,AIIMS Jammu,GENERAL MEDICINE,AIIMS-All India,UR
0,161,Delhi,AIIMS Delhi,PAEDIATRICS,AIIMS-All India,OBC
0,162,Pondicherry,JIPMER Puducherry,ORTHOPAEDICS,JIPMER-All India,OBC
0,164,Pondicherry,JIPMER Puducherry,PAEDIATRICS,JIPMER-All India,UR
0,165,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIMPER-Inst. Pref,INST (JIPMER)
0,166,Delhi,AIIMS Delhi,RADIO DIAGNOSIS,AIIMS-All India,SC
0,168,Delhi,AIIMS Delhi,NEUROSURGERY 6 YRS,AIIMS-All India,UR
0,169,Bihar,AIIMS Patna,PAEDIATRICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,170,Rajasthan,AIIMS Jodhpur,ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,171,Madhya Pradesh,AIIMS Bhopal,GENERAL MEDICINE,AIIMS-All India,OBC
0,172,Chandigarh,PGIMER Chandigarh,NUCLEAR MEDICINE,PGIMER-All India,UR
0,174,Pondicherry,JIPMER Puducherry,OBG,JIPMER-All India,UR
0,175,Chhattisgarh,AIIMS Raipur,GENERAL MEDICINE,AIIMS-All India,OBC
0,176,Odisha,AIIMS Bhubaneswar,PAEDIATRICS,AIIMS-All India,UR
0,177,Chandigarh,PGIMER Chandigarh,GENERAL SURGERY,PGIMER-All India,UR
0,178,Delhi,AIIMS Delhi,ENT,AIIMS-All India,UR
0,179,Maharashtra,AIIMS Nagpur,PAEDIATRICS,AIIMS-All India,UR
0,181,Rajasthan,AIIMS Jodhpur,OBG,AIIMS-All India,UR
0,182,Uttar Pradesh,AIIMS Gorakhpur,GENERAL MEDICINE,AIIMS-All India,EWS
0,183,Delhi,AIIMS Delhi,NUCLEAR MEDICINE,AIIMS-All India,UR
0,185,Maharashtra,AIIMS Nagpur,GENERAL MEDICINE,AIIMS-All India,OBC
0,187,Jharkhand,AIIMS Deoghar,GENERAL MEDICINE,AIIMS-All India,OBC
0,188,Bihar,AIIMS Patna,DERMATOLOGY,AIIMS-All India,UR
0,189,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-All India,EWS
0,190,Delhi,AIIMS Delhi,OPHTHALMOLOGY,AIIMS-All India,UR
0,191,Odisha,AIIMS Bhubaneswar,PAEDIATRICS,AIIMS-All India,UR
0,192,Chhattisgarh,AIIMS Raipur,PAEDIATRICS,AIIMS-All India,UR
0,193,West Bengal,AIIMS Kalyani,GENERAL MEDICINE,AIIMS-All India,EWS
0,195,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-All India,OBC
0,196,Pondicherry,JIPMER Puducherry,NEUROSURGERY 6 YRS,JIPMER-All India,UR
0,199,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-All India,EWS
0,200,Chandigarh,PGIMER Chandigarh,OBG,PGIMER-All India,UR
0,201,Chandigarh,PGIMER Chandigarh,GENERAL SURGERY,PGIMER-All India,UR
0,202,Chandigarh,PGIMER Chandigarh,GENERAL SURGERY,PGIMER-All India,UR
0,203,Chandigarh,PGIMER Chandigarh,GENERAL SURGERY,PGIMER-All India,UR
0,205,Delhi,AIIMS Delhi,OPHTHALMOLOGY,AIIMS-All India,UR
0,206,Rajasthan,AIIMS Jodhpur,PAEDIATRICS,AIIMS-All India,EWS
0,207,Delhi,AIIMS Delhi,GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,209,Jammu and Kashmir,AIIMS Jammu,RADIO DIAGNOSIS,AIIMS-All India,UR
0,210,Assam,AIIMS Guwahati,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,211,Chandigarh,PGIMER Chandigarh,NUCLEAR MEDICINE,PGIMER-All India,UR
0,212,Delhi,AIIMS Delhi,PAEDIATRICS,AIIMS-All India,OBC
0,213,Bihar,AIIMS Patna,GENERAL MEDICINE,AIIMS-All India,OBC
0,215,Chandigarh,PGIMER Chandigarh,RADIO DIAGNOSIS,PGIMER-All India,SC
0,216,Delhi,AIIMS Delhi,NUCLEAR MEDICINE,AIIMS-All India,OBC
0,217,Gujarat,AIIMS Rajkot,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,218,Chandigarh,PGIMER Chandigarh,OBG,PGIMER-All India,UR
0,219,Uttarakhand,AIIMS Rishikesh,DERMATOLOGY,AIIMS-All India,EWS
0,220,Pondicherry,JIPMER Puducherry,GENERAL MEDICINE,JIPMER-All India,EWS
0,221,Punjab,AIIMS Bathinda,PAEDIATRICS,AIIMS-All India,UR
0,223,Delhi,AIIMS Delhi,INECTIOUS DISEASES 6 YRS,AIIMS-All India,UR
0,224,Andhra Pradesh,AIIMS Mangalagiri,DERMATOLOGY,AIIMS-All India,UR
0,225,Karnataka,NIMHANS Bangalore,PSYCHIATRY,NIMHANS-All India,UR
0,226,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,OBC
0,227,Rajasthan,AIIMS Jodhpur,OBG,AIIMS-All India,UR
0,228,Punjab,AIIMS Bathinda,GENERAL MEDICINE,AIIMS-All India,OBC
0,230,Chhattisgarh,AIIMS Raipur,DERMATOLOGY,AIIMS-All India,OBC
0,231,Pondicherry,JIPMER Puducherry,NUCLEAR MEDICINE,JIMPER-Inst. Pref,INST (JIPMER)
0,232,Maharashtra,AIIMS Nagpur,PAEDIATRICS,AIIMS-All India,UR
0,233,Pondicherry,JIPMER Puducherry,GENERAL SURGERY,JIPMER-All India,EWS
0,235,Himachal Pradesh,AIIMS Bilaspur Himachal,RADIO DIAGNOSIS,AIIMS-All India,OBC
0,236,Pondicherry,JIPMER Puducherry,PAEDIATRICS,JIPMER-All India,OBC
0,237,Assam,AIIMS Guwahati,GENERAL MEDICINE,AIIMS-All India,EWS
0,239,Assam,AIIMS Guwahati,PAEDIATRICS,AIIMS-All India,UR
0,240,Chandigarh,PGIMER Chandigarh,OPHTHALMOLOGY,PGIMER-All India,UR
0,241,Assam,AIIMS Guwahati,PAEDIATRICS,AIIMS-All India,UR
0,242,Chandigarh,PGIMER Chandigarh,OPHTHALMOLOGY,PGIMER-All India,UR
0,246,Pondicherry,JIPMER Puducherry,OPHTHALMOLOGY,JIPMER-All India,UR
0,247,Delhi,AIIMS Delhi,INECTIOUS DISEASES 6 YRS,AIIMS-All India,UR
0,249,Uttar Pradesh,AIIMS Rai Bareli,NEUROLOGY 6 YRS,AIIMS-All India,UR
0,251,Odisha,AIIMS Bhubaneswar,PLASTIC SURGERY 6 YRS,AIIMS-All India,UR
0,252,Rajasthan,AIIMS Jodhpur,GENERAL SURGERY,AIIMS-All India,UR
0,253,Chandigarh,PGIMER Chandigarh,ORTHOPAEDICS,PGIMER-All India,UR
0,254,Chandigarh,PGIMER Chandigarh,PAEDIATRICS,PGIMER-All India,OBC
0,255,Uttarakhand,AIIMS Rishikesh,GENERAL SURGERY,AIIMS-All India,UR
